dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
bci_iv2a_real_s1,kalofolias,trss,0.2,0,1.6815604543440904e-06,7.689115667582024e-06,16.914510977273817,3.434332070732682e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.020395100000314415
bci_iv2a_real_s1,kalofolias,trss,0.2,1,1.7457728784156223e-06,9.048927511700397e-06,16.9684297862486,3.7744752516436706e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019464099998003803
bci_iv2a_real_s1,kalofolias,trss,0.2,2,1.648502709743691e-06,7.86802254327403e-06,17.01673999070366,3.4495768755292694e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01912589999847114
bci_iv2a_real_s1,kalofolias,trss,0.2,3,1.6754910474143549e-06,8.564275394392547e-06,16.853518178675447,3.154241867057557e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019028499998967163
bci_iv2a_real_s1,kalofolias,trss,0.2,4,1.6341184702462912e-06,7.823906904641528e-06,17.124277368992967,3.719461097124989e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018507399996451568
bci_iv2a_real_s1,kalofolias,trss,0.2,5,1.5094735624927253e-06,7.390920847377215e-06,17.0612034847398,3.382516242394845e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019148799998220056
bci_iv2a_real_s2,kalofolias,trss,0.2,0,5.175902822890229e-07,2.0491947860159705e-06,24.942694446431904,1.4158105541437014e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018957399995997548
bci_iv2a_real_s2,kalofolias,trss,0.2,1,5.203767754392582e-07,2.145331099922501e-06,24.929182571712072,1.3945322951891171e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018861500000639353
bci_iv2a_real_s2,kalofolias,trss,0.2,2,5.027307317583718e-07,1.9891909972322804e-06,24.862249003910307,1.4965630891582958e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018880700001318473
bci_iv2a_real_s2,kalofolias,trss,0.2,3,4.922796763209711e-07,1.8770108030504005e-06,25.02983512639879,1.3201781789669541e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018875300003855955
bci_iv2a_real_s2,kalofolias,trss,0.2,4,4.998889511013328e-07,1.959275059064838e-06,24.96893977855687,1.507691080777057e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019214899999496993
bci_iv2a_real_s2,kalofolias,trss,0.2,5,4.925881549349745e-07,1.943862200624809e-06,25.00806916446169,1.3724771184600887e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018749299997580238
bci_iv2a_real_s3,kalofolias,trss,0.2,0,4.1129449102219794e-07,1.3199039101820512e-06,17.247443714654796,1.0604209103660863e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018431800002872478
bci_iv2a_real_s3,kalofolias,trss,0.2,1,4.36975348989336e-07,1.4289250417061746e-06,16.686375466907744,1.0154743396119038e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018870100000640377
bci_iv2a_real_s3,kalofolias,trss,0.2,2,4.40275298848456e-07,1.3962962661546041e-06,16.756181200956146,1.0442737360987231e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01787979999789968
bci_iv2a_real_s3,kalofolias,trss,0.2,3,4.180226911822921e-07,1.3316416019603307e-06,16.86626036533085,9.944581424368859e-06,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018809699999110308
bci_iv2a_real_s3,kalofolias,trss,0.2,4,4.166359416155209e-07,1.316629232346714e-06,17.169696639459755,1.0030139187647457e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01807580000604503
bci_iv2a_real_s3,kalofolias,trss,0.2,5,4.445378766733561e-07,1.4070849070969627e-06,16.574366943642005,1.0578986452866846e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018616699999256525
