dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec,snr_initial_db
physionet_eegmmidb_real,knn__k3,mean,0.2,0,4.1646288424231905e-06,1.2974873214408882e-05,12.480346601968455,8.786457070775586e-05,{},,5,0.001978899999812711,20.0
physionet_eegmmidb_real,knn__k3,nearest,0.2,0,4.800750630420531e-06,1.510279204946087e-05,11.376834859228204,9.619188635970545e-05,{},,5,0.004381699996883981,20.0
physionet_eegmmidb_real,knn__k3,tikhonov,0.2,0,7.751537291949177e-06,1.28874998960384e-05,12.899581666486773,9.10775597743931e-05,"{""alpha"": 0.1}",,5,0.007330099993851036,20.0
physionet_eegmmidb_real,knn__k3,tv,0.2,0,4.088549925694167e-06,1.2746782809875474e-05,12.615432221222202,8.676338963613017e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.1625519999943208,20.0
physionet_eegmmidb_real,knn__k3,trss,0.2,0,2.7686393779961303e-06,8.819587686737582e-06,15.86302179171228,6.499550619012467e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.017327200002910104,20.0
physionet_eegmmidb_real,knn__k3,graph_time_tikhonov,0.2,0,1.3526854316888946e-05,1.7791015615215538e-05,10.385767781426027,0.00012633067047229752,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.008186300001398195,20.0
physionet_eegmmidb_real,knn__k3,temporal_laplacian,0.2,0,2.5455091996648112e-05,3.2773743294523614e-05,4.260465542422097,0.00023376970743240006,"{""alpha"": 0.5, ""beta"": 0.5}",,5,1.6365392000006977,20.0
physionet_eegmmidb_real,knn__k3,mean,0.2,1,4.146851836438223e-06,1.2790475135121788e-05,12.562827984112552,8.32563998395916e-05,{},,5,0.001988099997106474,20.0
physionet_eegmmidb_real,knn__k3,nearest,0.2,1,4.752054913796146e-06,1.527303899609591e-05,11.153091634411775,9.993474807335911e-05,{},,5,0.004124099999899045,20.0
physionet_eegmmidb_real,knn__k3,tikhonov,0.2,1,7.72505232905869e-06,1.2919667622152938e-05,12.8329458418861,9.068818306342851e-05,"{""alpha"": 0.1}",,5,0.005739199994422961,20.0
