dataset,method,graph,missing_ratio,mae,rmse,dtw,snr,block,source_file
synthetic_beta,linear,knn__k3,0.1,0.0784418055359528,0.2949265284406414,,-2.19182207727983,synthetic_beta__0.1_0,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,nearest,knn__k3,0.1,0.0859116155366704,0.3279639310396917,,-3.1300250864740704,synthetic_beta__0.1_1,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,mean,knn__k3,0.1,0.0658619827367564,0.2310340626127287,,-0.0856866621374472,synthetic_beta__0.1_2,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,idw,knn__k3,0.1,0.0660994520829936,0.2333514445938537,,-0.1749711825681111,synthetic_beta__0.1_3,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,spherical_spline,knn__k3,0.1,0.0900113475768736,0.3618140795188991,,-3.465150351702601,synthetic_beta__0.1_4,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,rbfi_tps,knn__k3,0.1,0.0766133823278453,0.2886232082408441,,-1.9506312145781888,synthetic_beta__0.1_5,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,rbfi_mq,knn__k3,0.1,0.0781198412781059,0.2984608959155374,,-2.173611837317409,synthetic_beta__0.1_6,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,spline_surface,knn__k3,0.1,0.4583868309598552,1.7384305001759384,,-17.116119806923578,synthetic_beta__0.1_7,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,gsp,knn__k3,0.1,0.0663634469041643,0.2405541567294963,,-0.3762615091487567,synthetic_beta__0.1_8,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,tikhonov,knn__k3,0.1,0.1423403145665177,0.2558026690289411,,15.351427855948254,synthetic_beta__0.1_9,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,bgsrp,knn__k3,0.1,0.4549299856341471,0.5512587236051233,,2.565017560034326,synthetic_beta__0.1_10,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,gsmooth,knn__k3,0.1,0.0649105401687525,0.2288287724052974,,0.0016295408125639,synthetic_beta__0.1_11,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,puy,knn__k3,0.1,0.3317390524854705,0.4105577158664134,,5.626635119081542,synthetic_beta__0.1_12,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,sobolev,knn__k3,0.1,0.5443695047259207,0.6126018278940549,,1.359143600358864,synthetic_beta__0.1_13,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,graph_time_tikhonov,knn__k3,0.1,0.3373826748854754,0.4030781626173726,,5.625988273363758,synthetic_beta__0.1_14,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,trss,knn__k3,0.1,0.0659610735745397,0.2380055444334851,,-0.2945529797604906,synthetic_beta__0.1_15,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,tv,knn__k3,0.1,0.0655860745747635,0.231147774156379,,-0.0926310578128226,synthetic_beta__0.1_16,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,temporal_laplacian,knn__k3,0.1,0.4065377582380007,0.4685567068890814,,4.0175100116373175,synthetic_beta__0.1_17,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,heat_diffusion_temporal,knn__k3,0.1,0.0648469094288192,0.2261929042193655,,0.0960729422470843,synthetic_beta__0.1_18,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,wavelet_temporal,knn__k3,0.1,0.0946526864207568,0.2499952944202898,,15.176361154978323,synthetic_beta__0.1_20,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,directed_tv,knn__k3,0.1,0.0678913966171086,0.2397873657040896,,-0.4087982771725992,synthetic_beta__0.1_21,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,linear,knn__k3,0.2,0.1623711442886609,0.4199936236966927,,-2.1649653627217624,synthetic_beta__0.2_22,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,nearest,knn__k3,0.2,0.1735483953645094,0.4632412597566516,,-3.027617132778527,synthetic_beta__0.2_23,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,mean,knn__k3,0.2,0.1343883515386373,0.3289381591555257,,-0.0439228421786003,synthetic_beta__0.2_24,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,idw,knn__k3,0.2,0.134560782294406,0.3321385736544861,,-0.0989511101807839,synthetic_beta__0.2_25,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,spherical_spline,knn__k3,0.2,0.2204097595538203,0.5706900080788788,,-4.824230470989945,synthetic_beta__0.2_26,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,rbfi_tps,knn__k3,0.2,0.1797950279543489,0.4648551468454519,,-3.0600384621869696,synthetic_beta__0.2_27,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,rbfi_mq,knn__k3,0.2,0.1864798868102987,0.4801330310013145,,-3.342799755685587,synthetic_beta__0.2_28,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,spline_surface,knn__k3,0.2,0.2057853567915946,0.542070122300742,,-4.373594051004659,synthetic_beta__0.2_29,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,gsp,knn__k3,0.2,0.1488812260954286,0.3786214285617719,,-1.1366518361247764,synthetic_beta__0.2_30,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,tikhonov,knn__k3,0.2,0.2088564391300313,0.3781556985393426,,13.826848988891896,synthetic_beta__0.2_31,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,bgsrp,knn__k3,0.2,0.4772712584080968,0.6010902388580486,,2.293935357363801,synthetic_beta__0.2_32,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,gsmooth,knn__k3,0.2,0.1355864427517426,0.3347866772635094,,-0.1623599010631524,synthetic_beta__0.2_33,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,puy,knn__k3,0.2,0.3675151808900174,0.4835020049813663,,5.200946940421524,synthetic_beta__0.2_34,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,sobolev,knn__k3,0.2,0.553983379273611,0.6233944628685684,,1.2457823164977733,synthetic_beta__0.2_35,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,graph_time_tikhonov,knn__k3,0.2,0.3707495326242966,0.4572549102443693,,5.125891127547576,synthetic_beta__0.2_36,it26_synthetic_beta_all_graphs_raw.csv
synthetic_beta,trss,knn__k3,0.2,0.1455130170777964,0.3674447288425134,,-0.8624676950123948,synthetic_beta__0.2_37,it26_synthetic_beta_all_graphs_raw.csv
