graph,dataset,missing_ratio,best_method,best_mean_mae,best_n,best_std,ci_lower,ci_upper,second_method,second_mean_mae,second_n,second_std,delta_mean,p_raw,p_adj,significant,rank_biserial
gaussian__sigma1,synthetic_broad,0.1,directed_tv,0.0783620451757212,19,0.0,0.0783620451757212,0.0783620451757212,heat_diffusion_temporal,0.0813046606995442,19,0.0,0.0029426155238229,1.3120632979510227e-09,3.608174069365313e-07,True,1.0
gaussian__sigma1,synthetic_broad,0.2,directed_tv,0.1181534984305608,19,0.0,0.1181534984305608,0.1181534984305608,heat_diffusion_temporal,0.1205710482060559,19,1.4258071582120596e-17,0.0024175497754951,1.3120632979510227e-09,3.595053436385803e-07,True,1.0
gaussian__sigma1,synthetic_broad,0.3,directed_tv,0.1974954865713062,20,2.847661973129784e-17,0.1974954865713062,0.1974954865713062,heat_diffusion_temporal,0.1981715498056112,20,2.847661973129784e-17,0.000676063234305,4.682682358742056e-10,1.329881789882744e-07,True,1.0
kalofolias,synthetic_broad,0.1,directed_tv,0.0814527029580689,19,0.0,0.0814527029580689,0.0814527029580689,idw,0.0831261286989168,19,1.4258071582120596e-17,0.0016734257408479,1.3120632979510227e-09,3.581932803406293e-07,True,1.0
kalofolias,synthetic_broad,0.2,directed_tv,0.1204880068466204,19,2.8516143164241187e-17,0.1204880068466204,0.1204880068466204,gsmooth,0.1240230024591643,19,2.8516143164241187e-17,0.0035349956125439,1.3120632979510227e-09,3.568812170426782e-07,True,1.0
kalofolias,synthetic_broad,0.3,directed_tv,0.1972364461741241,20,0.0,0.1972364461741241,0.1972364461741241,mean,0.2019202316948071,20,2.847661973129784e-17,0.004683785520683,4.682682358742056e-10,1.3205164251652598e-07,True,1.0
kalofolias,synthetic_broad,0.4,directed_tv,0.2363516508170818,20,2.847661973129784e-17,0.2363516508170818,0.2363516508170818,mean,0.2384982122315032,20,2.847661973129784e-17,0.0021465614144214,4.682682358742056e-10,1.3158337428065177e-07,True,1.0
knn__k3,synthetic_broad,0.1,directed_tv,0.0688553064314485,21,0.0216003419647293,0.0585783347913955,0.075694379669269,heat_diffusion_temporal,0.0728111855189009,21,0.0227823867950506,0.0039558790874523,4.5880955023240564e-07,8.304452859206542e-05,True,0.8231292517006803
knn__k5,synthetic_broad,0.1,directed_tv,0.075949340478215,18,0.0,0.075949340478215,0.075949340478215,heat_diffusion_temporal,0.0808319767007137,18,0.0,0.0048826362224986,3.683348423440707e-09,9.134704090132954e-07,True,1.0
knn__k5,synthetic_broad,0.2,directed_tv,0.1198241533464619,18,2.856025168737767e-17,0.1198241533464619,0.1198241533464619,heat_diffusion_temporal,0.1206245453557503,18,2.856025168737767e-17,0.0008003920092884,3.683348423440707e-09,9.097870605898546e-07,True,1.0
