dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error
synthetic_alpha,knng__k4_sigma1,linear,0.1,0,0.0634270409346891,0.244209901265437,-0.0777226940065491,,{},
synthetic_alpha,knng__k4_sigma1,nearest,0.1,0,0.0642770299551405,0.2523142036825606,-0.2761905701468088,,{},
synthetic_alpha,knng__k4_sigma1,mean,0.1,0,0.0589478976695532,0.2085273501920232,0.9476396031020364,,{},
synthetic_alpha,knng__k4_sigma1,idw,0.1,0,0.0625841043918718,0.2198587343426586,0.5658803059686505,,{'power': 1.5},
synthetic_alpha,knng__k4_sigma1,spherical_spline,0.1,0,0.1109596651986618,0.4071882526204173,-4.5856010357981205,,{},
synthetic_alpha,knng__k4_sigma1,rbfi_tps,0.1,0,0.088427217921455,0.3314997645390123,-2.570316269427729,,{},
synthetic_alpha,knng__k4_sigma1,rbfi_mq,0.1,0,0.0895496117788872,0.3334451921211877,-2.776695396371658,,{},
synthetic_alpha,knng__k4_sigma1,spline_surface,0.1,0,0.363683314967057,1.7420712241529503,-12.999275934669356,,{},
synthetic_alpha,knng__k4_sigma1,gsp,0.1,0,0.0797716318464445,0.2814695558007606,-1.5326914947765686,,{},
synthetic_alpha,knng__k4_sigma1,tikhonov,0.1,0,0.1551593553950269,0.2909263989399637,15.139873227447978,,{'alpha': 0.05},
synthetic_alpha,knng__k4_sigma1,bgsrp,0.1,0,0.5103702139830847,0.613816065280515,1.6867489969485543,,{'bandwidth': 8},
synthetic_alpha,knng__k4_sigma1,gsmooth,0.1,0,0.0647209010402325,0.2267487659660203,0.254157932932377,,"{'lam': 0.3, 'n_iter': 30}",
synthetic_alpha,knng__k4_sigma1,puy,0.1,0,0.3567271674551002,0.4496704416586669,5.193770906304643,,{'alpha': 0.1},
synthetic_alpha,knng__k4_sigma1,sobolev,0.1,0,0.5428569260800503,0.6137651862962386,1.3136490474454583,,"{'alpha': 0.5, 'order': 2}",
synthetic_alpha,knng__k4_sigma1,graph_time_tikhonov,0.1,0,0.3353249827103856,0.4102792635839892,5.747071643408406,,"{'alpha': 0.3, 'beta': 0.1}",
synthetic_alpha,knng__k4_sigma1,trss,0.1,0,0.0785730236862633,0.276375321937948,-1.395554818364437,,"{'alpha': 0.5, 'beta': 0.1, 'n_iter': 40, 'lr': 0.02}",
synthetic_alpha,knng__k4_sigma1,tv,0.1,0,0.0639027562747872,0.2246900804213032,0.3677609256405514,,"{'lam': 0.4, 'n_iter': 30}",
synthetic_alpha,knng__k4_sigma1,temporal_laplacian,0.1,0,0.3902590675629623,0.4493105870714229,4.318935200402987,,"{'alpha': 0.3, 'beta': 0.3}",
synthetic_alpha,knng__k4_sigma1,heat_diffusion_temporal,0.1,0,0.0718301642349168,0.2486925366847137,-0.5821988841672017,,"{'alpha': 0.5, 'beta': 0.5, 'n_iter': 15}",
synthetic_alpha,knng__k4_sigma1,spline_temporal,0.1,0,,,,,{'alpha': 0.3},mae_null
synthetic_alpha,knng__k4_sigma1,wavelet_temporal,0.1,0,0.0820647166344311,0.2381514004427558,20.64791772572432,,"{'alpha': 0.7, 'wavelet_level': 2}",
