dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
bci_iv2a_real_s1,gaussian__sigma1.0,trss,0.1,0,8.894244306841286e-07,6.5664342457847345e-06,20.376594160848388,2.4447263987309255e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.017329700000118464
bci_iv2a_real_s1,gaussian__sigma1.0,trss,0.1,1,8.337744278535537e-07,5.849222739427795e-06,20.320633909568844,2.5099798364498258e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.017997899994952604
bci_iv2a_real_s1,gaussian__sigma1.0,trss,0.1,2,8.385514767995134e-07,6.4815716726583424e-06,20.5043864935415,2.4462367928834664e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01564220000000205
bci_iv2a_real_s1,gaussian__sigma1.0,trss,0.1,3,8.111059009184133e-07,5.458256484773027e-06,20.295009796952076,1.9668041959261686e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.016808500004117377
bci_iv2a_real_s1,gaussian__sigma1.0,trss,0.1,4,8.998603417611514e-07,6.418681470403461e-06,20.500714562873522,2.4732759330325688e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.016644800001813564
bci_iv2a_real_s1,gaussian__sigma1.0,trss,0.1,5,8.247113232259251e-07,5.620127451703163e-06,20.671717536073796,2.2199838377287632e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01668719999724999
bci_iv2a_real_s2,gaussian__sigma1.0,trss,0.1,0,2.3794455465508806e-07,1.2639342935699304e-06,28.533603596717985,8.308532772503092e-06,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01656869999715127
bci_iv2a_real_s2,gaussian__sigma1.0,trss,0.1,1,2.520305561300552e-07,1.3686896080314242e-06,28.034809213332284,9.66504159330148e-06,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.017121000004408415
bci_iv2a_real_s2,gaussian__sigma1.0,trss,0.1,2,2.559060689398382e-07,1.3012294589409948e-06,27.95844482744194,1.0417646192907252e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.016465000000607688
bci_iv2a_real_s2,gaussian__sigma1.0,trss,0.1,3,2.408861493600056e-07,1.3019677255851485e-06,28.266281750882296,8.822033639935909e-06,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01592480000545038
bci_iv2a_real_s2,gaussian__sigma1.0,trss,0.1,4,2.5990706830229437e-07,1.4455777132867693e-06,28.322912476533094,9.584501674672822e-06,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.017820799999753945
bci_iv2a_real_s2,gaussian__sigma1.0,trss,0.1,5,2.3748650024623687e-07,1.36344739888487e-06,28.57077729451095,7.014668915054665e-06,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.018546600003901403
bci_iv2a_real_s3,gaussian__sigma1.0,trss,0.1,0,2.1652317248727757e-07,9.681651720104824e-07,20.039576909355564,7.127022549260169e-06,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01709819999814499
bci_iv2a_real_s3,gaussian__sigma1.0,trss,0.1,1,2.0313256616080972e-07,9.063353766532463e-07,20.382453914002443,6.855589064455056e-06,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.023508300000685267
bci_iv2a_real_s3,gaussian__sigma1.0,trss,0.1,2,2.075404053829891e-07,9.535616898003316e-07,20.19093342079567,7.055316289389712e-06,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01617400000395719
bci_iv2a_real_s3,gaussian__sigma1.0,trss,0.1,3,2.1318133226593856e-07,9.682108293751878e-07,20.063820618956907,6.678663473049033e-06,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.016451399998913985
bci_iv2a_real_s3,gaussian__sigma1.0,trss,0.1,4,2.2244389527821757e-07,1.0086941860581158e-06,20.021994881564062,7.686459862677664e-06,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,2,0.01664399999572197
