dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec,snr_initial_db
bci_iv2a_real_s1,aew,mean,0.2,0,0.07046129049773535,0.22782509182092517,13.651892172175238,1.4313482573148224,{},,5,0.0020332999993115664,25.0
bci_iv2a_real_s1,aew,nearest,0.2,0,0.06630139091670344,0.2457838697358503,14.45679187122279,1.490324178226883,{},,5,0.004160600001341663,25.0
bci_iv2a_real_s1,aew,tikhonov,0.2,0,0.14152012602381922,0.2428528391600129,13.000979368584145,1.5909303891971287,"{""alpha"": 0.1}",,5,0.005658699999912642,25.0
bci_iv2a_real_s1,aew,tv,0.2,0,0.07029751470279756,0.22735153473004852,13.676664905316642,1.4280265002669725,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.149734399994486,25.0
bci_iv2a_real_s1,aew,trss,0.2,0,0.052900744879001496,0.1677535599366064,16.274887920770848,1.1249122784730838,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.022209500006283633,25.0
bci_iv2a_real_s1,aew,graph_time_tikhonov,0.2,0,0.2500642700887602,0.3371386410345432,9.802779746873826,2.1847517792378164,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.008589799996116199,25.0
bci_iv2a_real_s1,aew,temporal_laplacian,0.2,0,0.4468686469732402,0.6528271674902677,3.5638484390189364,5.089412052214665,"{""alpha"": 0.5, ""beta"": 0.5}",,5,1.2390921000042,25.0
bci_iv2a_real_s1,aew,mean,0.2,1,0.06916504393889893,0.22969609858670365,13.785872691243583,1.3878586173583702,{},,5,0.002019999999902211,25.0
bci_iv2a_real_s1,aew,nearest,0.2,1,0.06351019164571879,0.23461208688644516,14.787278764441254,1.4459487282713106,{},,5,0.004168300001765601,25.0
bci_iv2a_real_s1,aew,tikhonov,0.2,1,0.1395597587735182,0.24767652540622698,12.980759213263468,1.5947409202765612,"{""alpha"": 0.1}",,5,0.005722100002458319,25.0
bci_iv2a_real_s1,aew,tv,0.2,1,0.06899335789221862,0.22926717988969425,13.810699898782387,1.3849735902228903,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.1496149000013247,25.0
bci_iv2a_real_s1,aew,trss,0.2,1,0.05263206030606687,0.17630259485381916,16.10333572696562,1.095655998424092,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.02305519999936223,25.0
bci_iv2a_real_s1,aew,graph_time_tikhonov,0.2,1,0.24502543098463553,0.3378084338893865,9.876748117869349,2.2101767689293212,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.008155899995472282,25.0
bci_iv2a_real_s1,aew,temporal_laplacian,0.2,1,0.44594349894157354,0.6529678979130251,3.5559933882867605,5.188211535596048,"{""alpha"": 0.5, ""beta"": 0.5}",,5,2.0200027000100818,25.0
bci_iv2a_real_s1,aew,mean,0.2,0,0.0776343406104469,0.24407831421691173,12.689110096381748,1.576136742454833,{},,5,0.002053199990768917,15.0
bci_iv2a_real_s1,aew,nearest,0.2,0,0.08354346880708693,0.2783395322678588,12.159449724275296,1.7919117753736733,{},,5,0.004197799993562512,15.0
bci_iv2a_real_s1,aew,tikhonov,0.2,0,0.161585648885736,0.2678252322018988,11.73623974263073,1.8192695843876867,"{""alpha"": 0.1}",,5,0.005863600003067404,15.0
bci_iv2a_real_s1,aew,tv,0.2,0,0.07750683132109283,0.24367331915026572,12.7066421169666,1.5736646452818024,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.15024409999023192,15.0
bci_iv2a_real_s1,aew,trss,0.2,0,0.06400438676795982,0.19695562916996395,14.339954690977963,1.3696126054272437,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019699900003615767,15.0
bci_iv2a_real_s1,aew,graph_time_tikhonov,0.2,0,0.2871459306482219,0.3776851743279263,8.526408031329748,2.595506645609745,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.008151400004862808,15.0
bci_iv2a_real_s1,aew,temporal_laplacian,0.2,0,0.46653677370747826,0.6614116667230896,3.451743738496198,5.233399475272639,"{""alpha"": 0.5, ""beta"": 0.5}",,5,2.9156442000094103,15.0
bci_iv2a_real_s1,aew,mean,0.2,1,0.07674543095577108,0.24790514074225664,12.74056064230964,1.5012018845700157,{},,5,0.0020189999922877178,15.0
bci_iv2a_real_s1,aew,nearest,0.2,1,0.07930856157827397,0.267756232680764,12.441586476853717,1.6922110973473297,{},,5,0.004563900001812726,15.0
bci_iv2a_real_s1,aew,tikhonov,0.2,1,0.1589337663403585,0.272413323808853,11.720609908134923,1.7795310357715415,"{""alpha"": 0.1}",,5,0.005754099998739548,15.0
bci_iv2a_real_s1,aew,tv,0.2,1,0.07660330888278044,0.24752713506012497,12.758614022458486,1.4996164891941224,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.1508612999896286,15.0
bci_iv2a_real_s1,aew,trss,0.2,1,0.06372299142735731,0.20542741351711027,14.129609269471075,1.2589509736395208,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.021528099998249672,15.0
bci_iv2a_real_s1,aew,graph_time_tikhonov,0.2,1,0.2818492778595558,0.3768056140059302,8.619324996332859,2.588532426064037,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.008182199992006645,15.0
bci_iv2a_real_s1,aew,temporal_laplacian,0.2,1,0.46505726386808954,0.6628464743189582,3.427312916583252,5.264877789487099,"{""alpha"": 0.5, ""beta"": 0.5}",,5,2.815369699994335,15.0
bci_iv2a_real_s1,aew,mean,0.2,0,0.10635723421415402,0.32370268322352963,9.830597585534639,2.2128072771958354,{},,5,0.002019999999902211,5.0
bci_iv2a_real_s1,aew,nearest,0.2,0,0.1344385734907481,0.413580609719498,7.778401820883445,2.6677737965128228,{},,5,0.004189300001598895,5.0
bci_iv2a_real_s1,aew,tikhonov,0.2,0,0.239626301487444,0.3813910028238899,8.419077216453084,2.806306962313666,"{""alpha"": 0.1}",,5,0.005725600000005215,5.0
bci_iv2a_real_s1,aew,tv,0.2,0,0.10630217936438889,0.3235372063270311,9.835146656980362,2.2123931595559516,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.16050880000693724,5.0
bci_iv2a_real_s1,aew,trss,0.2,0,0.10389631688844717,0.3178780890488,10.02058596656434,2.1814348413535654,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.020359200003440492,5.0
bci_iv2a_real_s1,aew,graph_time_tikhonov,0.2,0,0.4295977641760505,0.5501441756062119,5.134120798309303,4.221380212591339,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.008061700005782768,5.0
bci_iv2a_real_s1,aew,temporal_laplacian,0.2,0,0.545278149883279,0.7078317992136642,2.9061455116434054,5.785061006913302,"{""alpha"": 0.5, ""beta"": 0.5}",,5,2.6945122000033734,5.0
bci_iv2a_real_s1,aew,mean,0.2,1,0.10658744848335919,0.3316500659830923,9.63369959229504,2.1070162969129766,{},,5,0.002446300000883639,5.0
bci_iv2a_real_s1,aew,nearest,0.2,1,0.13111881171882828,0.41010072862175706,7.733892393322648,2.4591005107883523,{},,5,0.004243299990775995,5.0
bci_iv2a_real_s1,aew,tikhonov,0.2,1,0.23682781496391936,0.38631680763023085,8.285012454642699,2.66302922139136,"{""alpha"": 0.1}",,5,0.006232800005818717,5.0
bci_iv2a_real_s1,aew,tv,0.2,1,0.10652158844124424,0.33147063061859117,9.63881311731929,2.106212782114164,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.16693520000262652,5.0
bci_iv2a_real_s1,aew,trss,0.2,1,0.10506623021767367,0.32585684796021874,9.719098283091602,2.0384846594063597,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.020237300006556325,5.0
bci_iv2a_real_s1,aew,graph_time_tikhonov,0.2,1,0.42269348180627003,0.5477621403548238,5.155496007923603,4.150692540272758,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.008203899997170083,5.0
bci_iv2a_real_s1,aew,temporal_laplacian,0.2,1,0.5413887750622377,0.7126508000990626,2.840131465538274,5.762019542353726,"{""alpha"": 0.5, ""beta"": 0.5}",,5,1.7049395999929402,5.0
