dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec,lambda
movielens_graph_signal,knn__k3,tv,0.2,0,0.04334850239243868,0.445790226243989,-inf,3.0045134434170393,"{""lam"": 0.05, ""n_iter"": 30}",,5,0.2274945000099251,0.05
movielens_graph_signal,knn__k3,graph_time_tikhonov,0.2,0,0.08840625747769176,0.5507224893471521,-inf,4.474694620449576,"{""alpha"": 0.05, ""beta"": 0.1}",,5,0.0082916999963345,0.05
movielens_graph_signal,knn__k3,trss,0.2,0,0.08097643911651363,0.5915315415586427,-inf,4.265938838134129,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019218899993575178,0.05
movielens_graph_signal,knn__k3,temporal_laplacian,0.2,0,0.11652726934310408,0.6452743946704601,-inf,5.254810563007397,"{""alpha"": 0.05, ""beta"": 0.5}",,5,1.9546292000013636,0.05
movielens_graph_signal,knn__k3,tv,0.2,1,0.043374974738654634,0.4451565231267542,-inf,2.1889535639423907,"{""lam"": 0.05, ""n_iter"": 30}",,5,0.1597604999988107,0.05
movielens_graph_signal,knn__k3,graph_time_tikhonov,0.2,1,0.09276970237562997,0.5633435488847851,-inf,4.070863692045216,"{""alpha"": 0.05, ""beta"": 0.1}",,5,0.01215070000034757,0.05
movielens_graph_signal,knn__k3,trss,0.2,1,0.08360023798877464,0.6130668691758585,-inf,3.7001951982492205,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.07592469999508467,0.05
movielens_graph_signal,knn__k3,temporal_laplacian,0.2,1,0.12094787688736745,0.6536828068506414,-inf,4.91061482528724,"{""alpha"": 0.05, ""beta"": 0.5}",,5,3.4722729999921285,0.05
movielens_graph_signal,knn__k3,tv,0.2,0,0.043672483443010904,0.44519893289486656,-inf,2.999854017327404,"{""lam"": 0.1, ""n_iter"": 30}",,5,0.14850490000389982,0.1
movielens_graph_signal,knn__k3,graph_time_tikhonov,0.2,0,0.10090049769063555,0.5859245812063311,-inf,4.8091442341362365,"{""alpha"": 0.1, ""beta"": 0.1}",,5,0.008057200000621378,0.1
movielens_graph_signal,knn__k3,trss,0.2,0,0.07645580917774612,0.5762232717329338,-inf,4.154799566264521,"{""alpha"": 0.1, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.02034339999954682,0.1
movielens_graph_signal,knn__k3,temporal_laplacian,0.2,0,0.12360909901801144,0.6621317590264358,-inf,5.371650415287426,"{""alpha"": 0.1, ""beta"": 0.5}",,5,5.7906783999933396,0.1
movielens_graph_signal,knn__k3,tv,0.2,1,0.04311068620269107,0.4435771619704177,-inf,2.1542225450948753,"{""lam"": 0.1, ""n_iter"": 30}",,5,0.2425029000005452,0.1
movielens_graph_signal,knn__k3,graph_time_tikhonov,0.2,1,0.10559685057008557,0.5948588576582804,-inf,4.466769543595514,"{""alpha"": 0.1, ""beta"": 0.1}",,5,0.012577000001328997,0.1
movielens_graph_signal,knn__k3,trss,0.2,1,0.07900336681314106,0.5978977672470603,-inf,3.611831532335025,"{""alpha"": 0.1, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.08174549999239389,0.1
movielens_graph_signal,knn__k3,temporal_laplacian,0.2,1,0.1270257676189056,0.6658997887859052,-inf,4.9879062516273835,"{""alpha"": 0.1, ""beta"": 0.5}",,5,2.7969857000134652,0.1
movielens_graph_signal,knn__k3,tv,0.2,0,0.0438730606685181,0.4451098162695613,-inf,3.001112026132361,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.29696209999383427,0.2
movielens_graph_signal,knn__k3,graph_time_tikhonov,0.2,0,0.11768924497466188,0.6440810124310945,-inf,5.29769983791353,"{""alpha"": 0.2, ""beta"": 0.1}",,5,0.011832399992272258,0.2
movielens_graph_signal,knn__k3,trss,0.2,0,0.06965318429527984,0.5537766399514891,-inf,3.9832663940946165,"{""alpha"": 0.2, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.15504720000899397,0.2
movielens_graph_signal,knn__k3,temporal_laplacian,0.2,0,0.13336005082558763,0.6965848327989492,-inf,5.620989865995888,"{""alpha"": 0.2, ""beta"": 0.5}",,5,2.283219899996766,0.2
movielens_graph_signal,knn__k3,tv,0.2,1,0.042955325342262644,0.44296265227781045,-inf,2.1352282287274273,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.1512640000000829,0.2
movielens_graph_signal,knn__k3,graph_time_tikhonov,0.2,1,0.12278363357104016,0.6487738723182358,-inf,5.041939030456992,"{""alpha"": 0.2, ""beta"": 0.1}",,5,0.007867100008297712,0.2
movielens_graph_signal,knn__k3,trss,0.2,1,0.07234508592447568,0.575599577867704,-inf,3.492154904322936,"{""alpha"": 0.2, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019582599998102523,0.2
movielens_graph_signal,knn__k3,temporal_laplacian,0.2,1,0.13573249438114843,0.6973887792531118,-inf,5.227290143460302,"{""alpha"": 0.2, ""beta"": 0.5}",,5,9.90872340000351,0.2
