dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec,lambda
bci_iv2a_real_s3,gaussian__sigma1.0,tv,0.2,0,0.06581511975742481,0.2205263470998066,14.549031280222815,1.5886361352342533,"{""lam"": 0.05, ""n_iter"": 30}",,5,0.18627459999697749,0.05
bci_iv2a_real_s3,gaussian__sigma1.0,graph_time_tikhonov,0.2,0,0.2617962408951465,0.3598129524666339,10.183888237344332,2.6722180298717078,"{""alpha"": 0.05, ""beta"": 0.1}",,5,0.008164600003510714,0.05
bci_iv2a_real_s3,gaussian__sigma1.0,trss,0.2,0,0.02866314047629899,0.10190665535566645,22.176293492377567,0.7235844108367169,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019424199999775738,0.05
bci_iv2a_real_s3,gaussian__sigma1.0,temporal_laplacian,0.2,0,0.49513239593700037,0.6261176573446613,4.033510148870207,4.804808933299304,"{""alpha"": 0.05, ""beta"": 0.5}",,5,1.3406430000031833,0.05
bci_iv2a_real_s3,gaussian__sigma1.0,tv,0.2,1,0.06891703564443961,0.2326227356619811,14.179074098346085,1.494401544707294,"{""lam"": 0.05, ""n_iter"": 30}",,5,0.18620779999764636,0.05
bci_iv2a_real_s3,gaussian__sigma1.0,graph_time_tikhonov,0.2,1,0.26265588033681164,0.3637992159177205,10.161050175638541,2.6646844893603454,"{""alpha"": 0.05, ""beta"": 0.1}",,5,0.007996800006367266,0.05
bci_iv2a_real_s3,gaussian__sigma1.0,trss,0.2,1,0.030563419758047113,0.11032368380480834,21.553343915868158,0.7498998271438918,"{""alpha"": 0.05, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019023200002266094,0.05
bci_iv2a_real_s3,gaussian__sigma1.0,temporal_laplacian,0.2,1,0.49339554040622774,0.6237606942824203,4.064675714098004,4.790313553667299,"{""alpha"": 0.05, ""beta"": 0.5}",,5,1.38639929999772,0.05
bci_iv2a_real_s3,gaussian__sigma1.0,tv,0.2,0,0.06581511978146642,0.22052634716765476,14.549031276656883,1.5886361357620917,"{""lam"": 0.1, ""n_iter"": 30}",,5,0.1868073999939952,0.1
bci_iv2a_real_s3,gaussian__sigma1.0,graph_time_tikhonov,0.2,0,0.3113749210408471,0.4218071687059523,8.845213890210013,3.053458995614575,"{""alpha"": 0.1, ""beta"": 0.1}",,5,0.008155000003171153,0.1
bci_iv2a_real_s3,gaussian__sigma1.0,trss,0.2,0,0.03062855720660549,0.1073908989531982,21.428999792371588,0.7756358060541441,"{""alpha"": 0.1, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019185500001185574,0.1
bci_iv2a_real_s3,gaussian__sigma1.0,temporal_laplacian,0.2,0,0.5981532132295408,0.7496660377268343,2.460647533787371,5.728915067468974,"{""alpha"": 0.1, ""beta"": 0.5}",,5,1.3765402999997605,0.1
bci_iv2a_real_s3,gaussian__sigma1.0,tv,0.2,1,0.06891703566688354,0.23262273572478645,14.179074095050282,1.4944015450470325,"{""lam"": 0.1, ""n_iter"": 30}",,5,0.1849621000001207,0.1
bci_iv2a_real_s3,gaussian__sigma1.0,graph_time_tikhonov,0.2,1,0.31165113925229815,0.42411714127563294,8.854751030775338,3.038995485557367,"{""alpha"": 0.1, ""beta"": 0.1}",,5,0.007967700003064238,0.1
bci_iv2a_real_s3,gaussian__sigma1.0,trss,0.2,1,0.032942148881452485,0.11901316393462318,20.718665821614184,0.8048758065868107,"{""alpha"": 0.1, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01920510000491049,0.1
bci_iv2a_real_s3,gaussian__sigma1.0,temporal_laplacian,0.2,1,0.596766064158047,0.74778281121048,2.4804311096917337,5.691327452303479,"{""alpha"": 0.1, ""beta"": 0.5}",,5,1.2367858000070555,0.1
