dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec
physionet_eegmmidb_real,knn__k3,mean,0.2,0,4.1027343749999996e-06,1.2723943657038881e-05,12.607840552159239,8.528107809412185e-05,{},,5,0.003684992999978931
physionet_eegmmidb_real,knn__k3,tikhonov,0.2,0,5.552986901138474e-06,9.28847273006515e-06,16.036878151142535,6.718043900701e-05,"{""alpha"": 0.1}",,5,0.012632957000050737
physionet_eegmmidb_real,knn__k3,tv,0.2,0,4.008073239670032e-06,1.2449215108386551e-05,12.8132483280073,8.379795962759039e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.29279052699996555
physionet_eegmmidb_real,knn__k3,trss,0.2,0,1.9701054999556253e-06,6.366169015640101e-06,18.813178467224358,4.699566391951415e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.03280317299993385
physionet_eegmmidb_real,knn__k3,mean,0.2,1,4.053854166666666e-06,1.2562885618045056e-05,12.771545140918112,8.14038183392027e-05,{},,5,0.0036195210000187217
physionet_eegmmidb_real,knn__k3,tikhonov,0.2,1,5.5282953589722206e-06,9.197986120720166e-06,16.216950268893417,6.3344462568287e-05,"{""alpha"": 0.1}",,5,0.012562085000013212
physionet_eegmmidb_real,knn__k3,tv,0.2,1,3.956001283198891e-06,1.2276794768429361e-05,12.990674430801766,7.931911002793638e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.29137477300002956
physionet_eegmmidb_real,knn__k3,trss,0.2,1,1.9551257033746426e-06,6.300972301324405e-06,18.916721628960026,4.1637623240966297e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.03455987500001356
bci_iv2a_real_s1,knn__k3,mean,0.2,0,2.4465986887613927e-06,1.1469136690091002e-05,13.786817032880577,4.948766859793341e-05,{},,5,0.003695944000014606
bci_iv2a_real_s1,knn__k3,tikhonov,0.2,0,5.437583550266037e-06,1.3039550461601522e-05,12.704646301576892,5.464920690081195e-05,"{""alpha"": 0.1}",,5,0.012578566000001956
bci_iv2a_real_s1,knn__k3,tv,0.2,0,2.4463979205585717e-06,1.1468691242719925e-05,13.788131102478575,4.9483240289058596e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.29926824699998633
bci_iv2a_real_s1,knn__k3,trss,0.2,0,1.6619498442885525e-06,7.5013402645006465e-06,17.085273412560852,3.389198326785659e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.03369984799996928
bci_iv2a_real_s1,knn__k3,mean,0.2,1,2.491294860839844e-06,1.2880734752035774e-05,13.938874345953451,5.332244828430989e-05,{},,5,0.003695402999937869
bci_iv2a_real_s1,knn__k3,tikhonov,0.2,1,5.451950379639944e-06,1.4235994723806229e-05,12.738299365660419,5.733279406989695e-05,"{""alpha"": 0.1}",,5,0.012603803000047265
bci_iv2a_real_s1,knn__k3,tv,0.2,1,2.4911059115763997e-06,1.2880343713362805e-05,13.94000851645825,5.331890533943353e-05,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.29889263600000504
bci_iv2a_real_s1,knn__k3,trss,0.2,1,1.740696879345479e-06,8.869358993802592e-06,16.90861227609056,3.7336243456975584e-05,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.032737431000100514
iv100hz_mat,knn__k3,mean,0.2,0,41.73264322916666,133.93670721786685,10.765144042297385,725.591887661063,{},,5,0.0036523019999776807
iv100hz_mat,knn__k3,tikhonov,0.2,0,100.47919073358544,163.10011339759288,10.346956444137028,901.9312707730742,"{""alpha"": 0.1}",,5,0.012888624999959575
iv100hz_mat,knn__k3,tv,0.2,0,39.79247650009048,135.35190729613763,10.539951500914482,752.1680785070503,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.29045604800001
iv100hz_mat,knn__k3,trss,0.2,0,33.7930629483786,104.01362989643337,12.031214598074682,627.3869756636536,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.03344289899996511
iv100hz_mat,knn__k3,mean,0.2,1,41.65002604166667,131.81803413188894,10.80230668058644,756.8259433492494,{},,5,0.003669373999969139
iv100hz_mat,knn__k3,tikhonov,0.2,1,100.97353031829971,162.71955730706372,10.306719016775936,904.7598642367288,"{""alpha"": 0.1}",,5,0.012700644000005923
iv100hz_mat,knn__k3,tv,0.2,1,40.705487155774385,136.1887050302801,10.63786243047686,781.427681250488,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.290169762000005
iv100hz_mat,knn__k3,trss,0.2,1,34.22690156865483,103.94221615261112,12.04373323057281,626.4129325819758,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.032995323000022836
iris_graph_signal,knn__k3,mean,0.2,0,0.12881122071809076,0.37350258780829326,10.310363771115195,2.1235230467207433,{},,1,0.0017331279999552862
iris_graph_signal,knn__k3,tikhonov,0.2,0,0.2647125292837536,0.4280012557867772,8.995505748712457,2.5693166342079845,"{""alpha"": 0.1}",,1,0.0048803759999600516
iris_graph_signal,knn__k3,tv,0.2,0,0.12577887287763917,0.36772359290378115,10.569968387195305,2.066351856384199,"{""lam"": 0.2, ""n_iter"": 30}",,1,0.1037752229999569
iris_graph_signal,knn__k3,trss,0.2,0,0.10361812017291416,0.3070249319384458,11.762447712459359,1.7272765383758468,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,1,0.007167939000055412
iris_graph_signal,knn__k3,mean,0.2,1,0.1392995844399998,0.4173184034649834,9.858095805527919,2.50193178574708,{},,1,0.002646324000011191
