dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error
synthetic_broad,gaussian__sigma1,linear,0.1,0,0.0942564113430665,0.3233746575345121,-1.9946649185926244,,{},
synthetic_broad,gaussian__sigma1,nearest,0.1,0,0.1023458230485613,0.3490013082066618,-2.711873185031424,,{},
synthetic_broad,gaussian__sigma1,mean,0.1,0,0.0853382750496039,0.2732681774073414,-0.5580111755525607,,{},
synthetic_broad,gaussian__sigma1,idw,0.1,0,0.0831261286989168,0.274378902341201,-0.611981939546024,,{'power': 1.5},
synthetic_broad,gaussian__sigma1,spherical_spline,0.1,0,0.0853382750496039,0.2732681774073414,-0.5580111755525607,,{},
synthetic_broad,gaussian__sigma1,rbfi_tps,0.1,0,0.0950698397827097,0.3316206493211244,-2.26611181669381,,{},
synthetic_broad,gaussian__sigma1,rbfi_mq,0.1,0,0.1076814030559054,0.373112949900562,-3.288920715435988,,{},
synthetic_broad,gaussian__sigma1,spline_surface,0.1,0,0.0950698397827097,0.3316206493211244,-2.26611181669381,,{},
synthetic_broad,gaussian__sigma1,gsp,0.1,0,0.083220804183804,0.2701900211216955,-0.4771008678587256,,{},
synthetic_broad,gaussian__sigma1,tikhonov,0.1,0,0.2160215606042147,0.314838946119114,10.676750142388464,,{'alpha': 0.05},
synthetic_broad,gaussian__sigma1,bgsrp,0.1,0,0.4641908798654723,0.5503463541244776,2.520816929995424,,{'bandwidth': 8},
synthetic_broad,gaussian__sigma1,gsmooth,0.1,0,0.0846715680371036,0.2715368693057303,-0.5086673176262759,,"{'lam': 0.3, 'n_iter': 30}",
synthetic_broad,gaussian__sigma1,puy,0.1,0,0.5071225319603211,0.58281498181495,1.857725579600051,,{'alpha': 0.1},
synthetic_broad,gaussian__sigma1,sobolev,0.1,0,0.5963242111782423,0.6721386916044946,0.5089782037655552,,"{'alpha': 0.5, 'order': 2}",
synthetic_broad,gaussian__sigma1,graph_time_tikhonov,0.1,0,0.4455862765592365,0.5159326767235719,3.0841423047058045,,"{'alpha': 0.3, 'beta': 0.1}",
synthetic_broad,gaussian__sigma1,trss,0.1,0,0.0832030918710663,0.2700685045074854,-0.4732583604619567,,"{'alpha': 0.5, 'beta': 0.1, 'n_iter': 40, 'lr': 0.02}",
synthetic_broad,gaussian__sigma1,tv,0.1,0,0.0850872174658478,0.2725447186347772,-0.5358341829180683,,"{'lam': 0.4, 'n_iter': 30}",
synthetic_broad,gaussian__sigma1,temporal_laplacian,0.1,0,0.4689861863743795,0.532911946548975,2.733247206583787,,"{'alpha': 0.3, 'beta': 0.3}",
synthetic_broad,gaussian__sigma1,heat_diffusion_temporal,0.1,0,0.0813046606995442,0.2579176229054606,-0.0841734607939583,,"{'alpha': 0.3, 'beta': 0.3, 'n_iter': 10}",
synthetic_broad,gaussian__sigma1,spline_temporal,0.1,0,,,,,{'alpha': 0.3},mae_null
synthetic_broad,gaussian__sigma1,wavelet_temporal,0.1,0,0.1161578326361885,0.2861220018485345,13.740783540601978,,"{'alpha': 0.7, 'wavelet_level': 2}",
synthetic_broad,gaussian__sigma1,directed_tv,0.1,0,0.0783620451757212,0.2501241523518394,0.2116839199440157,,"{'alpha': 0.5, 'beta': 0.2, 'n_iter': 15}",
synthetic_broad,gaussian__sigma1,linear,0.2,0,0.1339021480517246,0.3679636630473734,-1.5023679894519697,,{},
synthetic_broad,gaussian__sigma1,nearest,0.2,0,0.1556476726654413,0.4322746410958746,-2.889871228346614,,{},
synthetic_broad,gaussian__sigma1,mean,0.2,0,0.1251951461619266,0.327231605642745,-0.5000161120511715,,{},
synthetic_broad,gaussian__sigma1,idw,0.2,0,0.1252925600065534,0.3319779834342264,-0.623933897587272,,{'power': 1.5},
synthetic_broad,gaussian__sigma1,spherical_spline,0.2,0,0.1251951461619266,0.327231605642745,-0.5000161120511715,,{},
synthetic_broad,gaussian__sigma1,rbfi_tps,0.2,0,0.1478793613197529,0.4115605460636899,-2.465014294174164,,{},
synthetic_broad,gaussian__sigma1,rbfi_mq,0.2,0,0.1669639803202883,0.4725608106431604,-3.6600652205040274,,{},
synthetic_broad,gaussian__sigma1,spline_surface,0.2,0,0.1478793613197529,0.4115605460636899,-2.465014294174164,,{},
synthetic_broad,gaussian__sigma1,gsp,0.2,0,0.1239125728989621,0.3258681391009753,-0.467599348791141,,{},
synthetic_broad,gaussian__sigma1,tikhonov,0.2,0,0.2456240471988057,0.3604608508492418,9.927328041809153,,{'alpha': 0.05},
synthetic_broad,gaussian__sigma1,bgsrp,0.2,0,0.4633219988920629,0.5568485169689,2.5801274667981917,,{'bandwidth': 8},
synthetic_broad,gaussian__sigma1,gsmooth,0.2,0,0.1245129383416954,0.3258898690660243,-0.4672095355177061,,"{'lam': 0.3, 'n_iter': 30}",
synthetic_broad,gaussian__sigma1,puy,0.2,0,0.5141013637526756,0.5933724102229898,1.7280109986980388,,{'alpha': 0.1},
